cluster_id,cluster_label,id,title,description_snippet,sim,confidence,videoCount
c02,Youtube / Pakman / Clips,UCaIalqLU0cYvTrc-3rKms1w,3DVista,"Welcome to 3DVista's YouTube channel. Here, you can find video tutorials and short clips with tips and tricks for creating panoramas and multimedia virtual tours with 3DVista software. We will help you throughout the whole process of shooting pictures, stitching them into panoramas and converting them into interactive virtual tours. Have a look!",0.235,0.171,82
c02,Youtube / Pakman / Clips,UCBgc_s9bZcC7_VPC7Qyegfw,4K Clips And Trailers,"A channel by Shrey Tyagi Short videos in 4K SDR/HDR10/HLG  ➢ There are no false labeling, titles show the correct info of originally uploaded file. ➢ Yes, YouTube supports Dolby 5.1, streaming only supported on TV version of YouTube app. ➢ 8K videos are upscaled versions of high bitrate 4K files and look better on YouTube. ➢ 8K HDR is only supported on devices with HDR and AV01 codec decoding enabled. ➢ Video resolution claims can be verified using YouTube-DL. (Google it!)  For copyrighted conte…",0.338,0.255,514
c11,Music / Jazz / Productions,UCgGpNbEWsZhrtV_62dsUDpQ,7idea Productions,"7idea Productions captures modern-day railroads in the North America. Big diesel engines, majestic steam locomotives and beautiful scenery combine for a thrilling train watching experience.",0.127,0.097,215
c09,Get / Podcast / Business,UCovVc-qqwYp8oqwO3Sdzx7w,74 Gear,74 Gear / Pilot Kelsey Boeing 747 Pilot  All About Aviation   Join the 74 Crew on Instagram / Twitter:  @74Gear,0.184,0.128,315
c10,Photography / Tutorials / Nick,UCd0Yn5SKGaujdXCwk2TwmoA,360 Vroomers,"360 Vroomers is for those who love to shoot FAST and FUN action sports!  I am an enthusiast of various action sports: skiing, inline skates, ice skates, casterboards (ripstik), skatecycle, orbit wheels, freeline skates, onewheel, electric unicycle, electric skateboards, freebord, summerboard, and more.  I've been a photographer since 2007, a photography blogger since 2009.  I use 360 cameras and other action cams.    I have been writing about 360 cameras and VR since February 2016 on 360rumors.c…",0.213,0.134,363
c01,David / Elizabeth / Gravelle,UCyxcZgX1wNU-nk1yB9CvzSw,Aaron Parnas,,0.13,0.13,1440
c13,News / Military / China,UC6AFPIXFIHYZItD0fmgDN9Q,Above Ground Pool Builder,Your above-ground pool installation specialists. Providing above-ground pool and liner installations since 1997.,0.204,0.19,59
c13,News / Military / China,UCBS1b2TF1uuhAomGYpFio7w,Above Ground Pros,"We have specialized strictly with above ground pools for over 27 years.  Our goal is to help above ground pool owners manage their pool as easy, as perfect, and as cost effective as possible, which is definitely possible for above ground pools.  We have noticed over the years that above ground pool owners seem to be left out in the education of their pool, whereas most of the education comes through the inground pool market.  We aim to help change that.",0.215,0.167,87
c10,Photography / Tutorials / Nick,UCv7ayuEI595kZglwebEWWWw,Adam Taylor // Architecture Photography Resources,"I am an interior and architecture photographer based in Oahu, Hawaii. I am also a photography educator with online workshops, courses, and downloads available to help others in their journey. This channel is currently used to host educational resources for interior, architecture, and real estate photographers.",0.343,0.288,151
c08,Products / Time / Step,UCyHaY6HrTUWNWA3bN26esUA,AdEspresso,Manage your Facebook Ads in less time using AdEspresso. Key features of our platform are: 1) Create campaigns 2) Analyze your campaigns 3) Optimize your campaigns 4) PDF reporting 5) Data Sync.  Start your free trial today: https://adespresso.com/join/,0.185,0.148,114
c06,History / World / Every,UC1KmNKYC1l0stjctkGswl6g,After Skool,We cannot change the world. But we can change ourselves...and that will change the world. The goal of this channel is to empower the individual and deliver profound ideas through art.  Everyone is welcome to contribute. If you have a good idea for an animation please send them to Mark at AfterSkool100@gmail.com,0.233,0.143,233
c06,History / World / Every,UCNJ1Ymd5yFuUPtn21xtRbbw,AI Explained,"Covering the biggest news of the century - the arrival of smarter-than-human AI. The author of Simple Bench, exposing the remaining human-LLM reasoning gap. Join me at AI Insiders, with exclusive videos and a 1000+ network of AI enthusiasts and professionals: https://www.patreon.com/AIExplained  Business Enquiries: aiexplained@outlook.com  Are you a cracked dev w/ some spare hours? Myself and a co-founder are polishing off an epic workflow tool (Typescript, Node.js) deployed on Heroku (one day A…",0.203,0.109,128
