channelId,channelTitle,label,shortDesc,confidence,knowledge_source,evidence,shortlist_count
"UCaIalqLU0cYvTrc-3rKms1w","3DVista","Technology","Welcome to 3DVista's YouTube channel. Here, you can find video tutorials and short clips with tips and tricks for creating panoramas and multimedia virtual tours with 3DVista software. We will help you throughout the whole process of shooti","0.9","text_clues","Focus on software for creating virtual tours and panoramas.","8"
"UCBgc_s9bZcC7_VPC7Qyegfw","4K Clips And Trailers","Film & TV","A channel by Shrey Tyagi Short videos in 4K SDR/HDR10/HLG ➢ There are no false labeling, titles show the correct info of originally uploaded file. ➢ Yes, YouTube supports Dolby 5.1, streaming only supported on TV version of YouTube app. ➢ 8","0.9","text_clues","Focus on 4K clips and trailers related to films and shows.","9"
"UCgGpNbEWsZhrtV_62dsUDpQ","7idea Productions","Education","7idea Productions captures modern-day railroads in the North America. Big diesel engines, majestic steam locomotives and beautiful scenery combine for a thrilling train watching experience.","0.8","text_clues","Focus on railroads suggests educational content about trains.","1"
"UCovVc-qqwYp8oqwO3Sdzx7w","74 Gear","Consumer Tech & Gadgets","74 Gear / Pilot Kelsey Boeing 747 Pilot All About Aviation Join the 74 Crew on Instagram / Twitter: @74Gear","0.7","text_clues","The channel focuses on aviation, which may include discussions about technology related to aircraft,","3"
"UCd0Yn5SKGaujdXCwk2TwmoA","360 Vroomers","Sports","360 Vroomers is for those who love to shoot FAST and FUN action sports! I am an enthusiast of various action sports: skiing, inline skates, ice skates, casterboards (ripstik), skatecycle, orbit wheels, freeline skates, onewheel, electric un","0.8","text_clues","The channel focuses on various action sports and emphasizes fast and fun activities, indicating a st","5"
"UCyxcZgX1wNU-nk1yB9CvzSw","Aaron Parnas","Unclassified (sparse)","","0","text_clues","sparse_title_and_description","0"
"UC6AFPIXFIHYZItD0fmgDN9Q","Above Ground Pool Builder","Home Improvement","Your above-ground pool installation specialists. Providing above-ground pool and liner installations since 1997.","0.9","text_clues","The channel focuses on above-ground pool installation, which falls under the home improvement catego","0"
"UCBS1b2TF1uuhAomGYpFio7w","Above Ground Pros","How-To & Skills Tutorials","We have specialized strictly with above ground pools for over 27 years. Our goal is to help above ground pool owners manage their pool as easy, as perfect, and as cost effective as possible, which is definitely possible for above ground poo","0.9","text_clues","The channel focuses on helping above ground pool owners manage their pools effectively, which aligns","4"
"UCv7ayuEI595kZglwebEWWWw","Adam Taylor // Architecture Photography Resources","Education","I am an interior and architecture photographer based in Oahu, Hawaii. I am also a photography educator with online workshops, courses, and downloads available to help others in their journey. This channel is currently used to host education","0.9","text_clues","The channel focuses on providing educational resources for photographers, indicating a strong emphas","6"
"UCyHaY6HrTUWNWA3bN26esUA","AdEspresso","Unclassified (low confidence)","Manage your Facebook Ads in less time using AdEspresso. Key features of our platform are: 1) Create campaigns 2) Analyze your campaigns 3) Optimize your campaigns 4) PDF reporting 5) Data Sync. Start your free trial today: https://adespress","0.1","text_clues","The channel focuses on managing and optimizing Facebook Ads, which is not aligned with journalism or","1"
"UC1KmNKYC1l0stjctkGswl6g","After Skool","How-To & Skills Tutorials","We cannot change the world. But we can change ourselves...and that will change the world. The goal of this channel is to empower the individual and deliver profound ideas through art. Everyone is welcome to contribute. If you have a good id","0.7","text_clues","The channel focuses on empowering individuals and delivering profound ideas, which aligns with provi","2"
"UCNJ1Ymd5yFuUPtn21xtRbbw","AI Explained","AI Tools & Productivity","Covering the biggest news of the century - the arrival of smarter-than-human AI. The author of Simple Bench, exposing the remaining human-LLM reasoning gap. Join me at AI Insiders, with exclusive videos and a 1000+ network of AI enthusiasts","0.9","text_clues","The channel focuses on AI, its implications, and tools related to AI development, which aligns close","11"
"UCWZwfV3ICOt3uEPpW6hYK4g","AI Foundations","Unclassified (sparse)","Learn to leverage market moving AI tools.","0","text_clues","sparse_title_and_description","0"
"UCwicfou4Ewu-koikmga-bEg","AI In Context","AI Tools & Productivity","AI is now everyone's problem. Let me catch you up. I'm Aric. AI is fast-moving, confusing, and suddenly everywhere. It's tempting to tune out of the discussion, but I think it's never been more important to tune in. I want to share with you","0.9","text_clues","The channel focuses on understanding AI's implications and how to navigate its complexities, which a","3"
"UC5l7RouTQ60oUjLjt1Nh-UQ","AI Revolution","AI Tools & Productivity","The ultimate AI media channel for the greatest advancements in artificial intelligence, where we break down complex concepts into digestible content. 📩 Brand Deals & Partnerships: me@faiz.mov ✉️ General Inquiries: airevolutionofficial@gmai","0.9","text_clues","The channel focuses on breaking down complex AI concepts, suggesting a practical approach to underst","1"
"UCED3hlYdD0SlCff7jJ8tF3Q","AI Samson","AI Tools & Productivity","I help you to adapt, create, and thrive in the era of AI. AI is transforming the way we create, work, and live. On this channel, I’ll guide you through the fast-moving world of AI, helping you explore its creative potential, understand its ","0.9","text_clues","The channel focuses on helping viewers adapt and thrive in the era of AI, exploring innovative AI to","8"
"UCnM9I0mYTFSO3wkfof7oUvA","Alex Ford","Business — entrepreneurship, marketing, and business strategies.","Welcome to my YouTube channel & podcast! For over a decade, I've been a digital marketing trainer helping people to find ways to make a full time income online and fire their boss. On this channel, I help you to build a highly profitable on","0.95","text_clues","The channel focuses on digital marketing training, building profitable online businesses, and interv","5"
"UCUyDOdBWhC1MCxEjC46d-zw","Alex Hormozi","Finance","Founder Acquisition.com, Co-Founder Skool.com. My new book $100M Money Models is out. [3.6M copies sold] Get yours now at https://go.acq.com","0.9","text_clues","The channel focuses on business and financial education, as indicated by the mention of a book on mo","1"
"UC3N1BvkmnYWqa3SSthhzReA","Allan Walls Photography","Photography — photography techniques and gear.","The Allan Walls Photography channel is all about helping ordinary people get the very most out of their photography. Videos cover all kinds of photography related topics, but we spend a lot of time talking about macro and close-up photograp","0.9","text_clues","The channel focuses on photography topics, particularly macro and close-up photography, which aligns","6"
"UCv42RmpB6iwadGz6n818l6w","Alter Bridge","Music","~ The Official Channel Of Alter Bridge ~ What Lies Within Tour ~ Tickets and VIP Experiences are on sale now at https://alterbridge.com","0.9","text_clues","The channel is the official page for the band Alter Bridge, indicating a focus on music content.","0"
"UCDBrVr0ttWpoRY-_yZajp2Q","alyankovic","Unclassified (sparse)","Comedy / Parody / Satire","0","text_clues","sparse_title_and_description","0"
"UC34AYD6is66Xpv6HPRB0Miw","AM/PM Podcast","Business — entrepreneurship, marketing, and business strategies.","Welcome to the AM/PM Podcast Youtube Channel. In every corner of the world, people are embracing entrepreneurism. There have never been more opportunities, tools, or methods for building a business that operates on auto-pilot, in the AM and","0.95","text_clues","The channel focuses on entrepreneurism, business models, financial strategies, and income-generating","7"
"UCORX3Cl7ByidjEgzSCgv9Yw","Anastasi In Tech","Technology — software, hardware, AI, computing, and devices.","Podcast on the future of technology. Please double-check that you’ve subscribed — it really helps us keep going. Thank you! If you represent a brand and want to collaborate, please reach out to anastasi@ycaagency.com Otherwise here is my as","0.9","text_clues","The channel focuses on a podcast about the future of technology, which aligns closely with the broad","7"
"UCXUPKJO5MZQN11PqgIvyuvQ","Andrej Karpathy","Unclassified (sparse)","","0","text_clues","sparse_title_and_description","0"
"UC2D2CMWXMOVWx7giW1n3LIg","Andrew Huberman","Science","The Huberman Lab podcast is hosted by Andrew Huberman, Ph.D., a neuroscientist and tenured professor in the department of neurobiology of ophthalmology, and by courtesy, psychiatry and behavioral sciences at Stanford School of Medicine. The","0.9","text_clues","The channel focuses on neuroscience and science-based tools, discussing how the brain and nervous sy","8"
"UCP0z2BisC_uuJGDk90gs2yA","Arc De Soleil","Unclassified (low confidence)","- Official channel for Arc De Soleil - ---------------------------------------- www.arcdesoleil.com instagram.com/arcdesoleil www.facebook.com/profile.php?id=61559057244939","0.1","text_clues","The channel title and description do not provide any specific information about PC hardware or build","1"
