id,title,description,umbrella,subcluster,assigned_via,sim,videoCount
UC1nJElGcVcTpeZJVyxEbzJw,Live Storms Media,"The Live Storms Media Company sells video of the best storm footage in the United States.  Our video can be seen on large networks as well as local affiliates.  CNN, TWC, FOX, ABC, Bloomberg, and USA Today have all featured pieces from us.  Follow our channel for the latest in extreme weather footage!  Email all licensing requests to Brett@livestormsmedia.com",Weather & Climate,weather,lexicon,0,23436
UCSxR0IZEq1WhTJqAnQGyk4g,Pacific Northwest Weather Watch,Everything Pacific Northwest Weather!  Daily Updates Live Streams Educational Videos,Weather & Climate,weather,lexicon,0,1981
UCV6hWxB0-u_IX7e-h4fEBAw,Reed Timmer,"Hi, I’m extreme meteorologist and storm chaser, Reed Timmer, known for embedding myself into some of the most severe weather storms and scenarios imaginable, so that I can research, report and warn others before natural disasters strike.  While most prefer to avoid the bad news that comes with bad weather, I charge towards it; intercepting tornadoes and hurricanes with my armored vehicle, the SRV Dominator, and launching trackable meteorological sensors into their strongest winds. My team has deployed probes into tornadoes using drones, small aircraft, and even rockets, gathering measurements …",Weather & Climate,weather,lexicon,0,2886
UCJHAT3Uvv-g3I8H3GhHWV7w,"Ryan Hall, Y'all",Digital Meteorologist | Severe Weather Broadcaster | The Internet's Weather Man |,Weather & Climate,weather,lexicon,0,713
UCBtR7ynKM9odz-PW_7uyzDw,SevereStudios,"SevereStudios features severe weather information, news, videos, radar, GPS tracking, and live streams from storm chasers all over the world at http://www.severestudios.com",Weather & Climate,weather,lexicon,0,287
UCTiL1q9YbrVam5nP2xzFTWQ,SpaceWeatherNews (S0),"Astrophysics, Geophysics, and Space Weather.",Weather & Climate,weather,lexicon,0,6349
UCBgc_s9bZcC7_VPC7Qyegfw,4K Clips And Trailers,"A channel by Shrey Tyagi Short videos in 4K SDR/HDR10/HLG  ➢ There are no false labeling, titles show the correct info of originally uploaded file. ➢ Yes, YouTube supports Dolby 5.1, streaming only supported on TV version of YouTube app. ➢ 8K videos are upscaled versions of high bitrate 4K files and look better on YouTube. ➢ 8K HDR is only supported on devices with HDR and AV01 codec decoding enabled. ➢ Video resolution claims can be verified using YouTube-DL. (Google it!)  For copyrighted content removal and business inquiries: 4k@shreytyagi.com",Unclassified,,lexicon,0,514
UCgGpNbEWsZhrtV_62dsUDpQ,7idea Productions,"7idea Productions captures modern-day railroads in the North America. Big diesel engines, majestic steam locomotives and beautiful scenery combine for a thrilling train watching experience.",Unclassified,,lexicon,0,215
UCd0Yn5SKGaujdXCwk2TwmoA,360 Vroomers,"360 Vroomers is for those who love to shoot FAST and FUN action sports!  I am an enthusiast of various action sports: skiing, inline skates, ice skates, casterboards (ripstik), skatecycle, orbit wheels, freeline skates, onewheel, electric unicycle, electric skateboards, freebord, summerboard, and more.  I've been a photographer since 2007, a photography blogger since 2009.  I use 360 cameras and other action cams.    I have been writing about 360 cameras and VR since February 2016 on 360rumors.com, with over 3000 articles as of July 2023. In 2016, I was the first to blog about a little company…",Unclassified,,lexicon,0,363
UCyxcZgX1wNU-nk1yB9CvzSw,Aaron Parnas,,Unclassified,,lexicon,0,1440
UC6AFPIXFIHYZItD0fmgDN9Q,Above Ground Pool Builder,Your above-ground pool installation specialists. Providing above-ground pool and liner installations since 1997.,Unclassified,,lexicon,0,59
