channelId,channelName,assignedLabel,method,topScore,secondScore,margin,description
UCXUPKJO5MZQN11PqgIvyuvQ,Andrej Karpathy,AI & Emerging Tech,scored,6,0,6,
UC_RovKmk0OCbuZjA8f08opw,Futurepedia,AI & Emerging Tech,scored,3.2,0,3.2,Learn to leverage AI tools and acquire AI skills to future-proof your life and business.
UC_pT_Iz6XjuM-eMTlXghdfw,Max the Meat Guy,AI & Emerging Tech,scored,3.2,0,3.2,"Check out MaxJerky! 🥩
https://www.maxjerky.com

—————
SUBSCRIBE and RING THE BELL to get notified when I post a video!

PLATFORMS
-Snapchat: https://www.snapchat.com/add/maxthemeatguy?share_id=Nzg2RjE4&locale=en_US
-Instagram: https://www.instagram.com/maxthemeatguy/
-TikTok: https://www.tiktok.com/@maxthemeatguy
-Facebook: https://www.facebook.com/MaxTheMeatGuy
-YouTube: https://youtube.com/c/maxthemeatguy

DISCOUNTS
https://www.beacons.ai/maxthemeatguy

WEBSITE
https://www.maxthemeatguy.com/"
UCPhq7iR65k0gWcraXgLiY1A,Nigel John Stanford,AI & Emerging Tech,scored,3.2,0,3.2,"Music from Nigel Stanford. Cymatics, Audio Visualization, Robotic Instruments from Wellington, New Zealand"
UCI6GYwCv9ZFkoiUgobwcLzQ,Performance AI,AI & Emerging Tech,scored,9.2,8,1.1999999999999993,"Here at Performance AI we strive to help you get the most out of your Tech.

More than that we are always going to show you new ways to make your life easier and make more money with AI.

Thank you for your support!"
UCwSozl89jl2zUDzQ4jGJD3g,Skill Leap AI,AI & Emerging Tech,scored,9.2,0,9.2,"👇 Stay on the cutting edge of AI!

I share the latest AI tools, models, and tips with easy tutorials and reviews.

🎓 Learn AI step by step with Skill Leap by Futurepedia—our full library of AI courses.
👉 Start your 7-day free trial: https://bit.ly/skill-leap

Subscribe to keep up with the AI revolution!

For sponsorships: contact@skillleap.ai"
UCHhYXsLBEVVnbvsq57n1MTQ,The AI Advantage,AI & Emerging Tech,scored,9.2,4.800000000000001,4.399999999999999,Build Your AI Toolkit: Practical Tutorials & Weekly Updates You'll Actually Use
UCeAKdCMMS4I9waww0LDLqng,The Nerdy Novelist,AI & Emerging Tech,scored,3.2,0,3.2,"The Nerdy Novelist is a channel about using AI and other author-related software to take the load off your shoulders so you can focus more on the creative tasks that you love most.

Visit my website at: https://storytellingdb.com"
UC7kCeZ53sli_9XwuQeFxLqw,Ticker Symbol: YOU,AI & Emerging Tech,scored,3.2,0,3.2,"Investing in innovation starts with understanding it.

My name is Alex. Before becoming a full-time investor, I spent 8 years as a rocket scientist at MIT Lincoln Laboratory. I hold a BE in Electrical Engineering, an ME in Systems Engineering & Optimization, and an unfinished PhD in Image Processing & Computer Vision. 

Now, I use my engineering background to research AI, semiconductors, and other advanced technologies, invest in them, and cover it all on this channel."
UCovVc-qqwYp8oqwO3Sdzx7w,74 Gear,Aviation,scored,12.8,0,12.8,"74 Gear / Pilot Kelsey
Boeing 747 Pilot 
All About Aviation 

Join the 74 Crew on Instagram / Twitter:  @74Gear"
